iter;tot_exp;exp_01;exp_07;exp_10
382;28986740952.7569;9294748364.92542;2744047189.87884;1359843523.46069
383;29000398480.8778;9270839581.1736;2754172066.07063;1367743113.49817
384;28887316957.6733;9277712589.6948;2727797626.19071;1359313070.47286
385;29007257866.9595;9307799219.5195;2732569667.56198;1348488546.31953
386;28913809080.3556;9291352655.92565;2711989757.69836;1359055602.64872
387;28854216945.9903;9287459755.11469;2716543932.64748;1352820844.05618
388;29061876414.0981;9305627684.88837;2678912988.68612;1346151282.99297
389;29045546145.9403;9322894065.35745;2700547284.65343;1354536606.19018
390;28792763367.3534;9292305776.03416;2746055361.54956;1353750728.26785
391;29092687363.3585;9274883258.59238;2721929210.09696;1368455639.51119
392;29000978538.0192;9305441522.91368;2747245526.71488;1336029344.85863
393;28995641737.371;9316978050.76808;2766400565.8435;1370480574.13129
394;28799778565.7892;9300560730.7532;2760667030.51676;1359204237.20026
395;29094596380.7836;9310645692.49765;2751337158.47023;1362948314.36164
396;29029410242.5117;9298080738.38007;2736398527.84433;1343883028.26179
397;29096715185.5678;9276028201.68573;2713909723.60975;1351954256.15076
398;28760214411.4087;9253093359.75978;2713264653.25881;1373782055.30329
399;28858407055.1288;9304029095.36325;2751056568.89651;1348461271.53104
400;28702490813.6704;9324557461.2537;2747523986.94614;1352821558.68209
401;28910097995.494;9249866858.6036;2774639548.39258;1347043274.58886
402;29128805059.6144;9320464264.23048;2764758578.19969;1349663117.0151
403;28883807948.7538;9299655892.78511;2723572417.48154;1346158649.87379
404;29116766785.7927;9312494157.6536;2736020550.67214;1336889719.1477
405;28877125558.5457;9292840291.40015;2721705539.8251;1340869387.86211
406;28940599273.5868;9287886374.1316;2752086861.00571;1369352016.60519
407;28873111361.8092;9310915514.32683;2684873595.36801;1362118000.6003
